node_id,section_id,x,y,lon,lat
0,0,414365.0123901983,5596780.29024758,-4.207912334795318,50.51671083710141
1,0,414401.2162612892,5596773.049473362,-4.2074001258837965,50.51665102976657
2,1,414245.7198952398,5596604.247149108,-4.209554144450575,50.515110523328346
3,1,414270.34655611333,5596605.853235687,-4.209207239580827,50.51512857175411
4,2,414281.6710682807,5596380.5802686745,-4.208995805203749,50.51310474499039
5,2,414303.3636416022,5596409.10339232,-4.208696468704749,50.51336437994613
6,3,414527.2014676997,5596397.042171941,-4.205537361410957,50.51328866353864
7,3,414535.50892971247,5596421.475883744,-4.205425812901975,50.513509566503394
8,4,414764.63648271427,5596399.005747166,-4.202189731590589,50.51334094228547
9,4,414781.3877034774,5596428.244257084,-4.201960197973506,50.51360627282496
10,5,414758.4335513368,5596158.128247121,-4.20222218756763,50.51117424322632
11,5,414793.73445526947,5596155.261446794,-4.2017237760954425,50.5111536065079
12,6,414724.02301074157,5595968.037532921,-4.2026639641390275,50.509460073216744
13,6,414758.4925466416,5595964.119263889,-4.2021770526675555,50.50942986315333
14,7,414705.04670926207,5595725.491205019,-4.202876112425511,50.507276507039364
15,7,414744.72607694665,5595728.338674091,-4.202317313664201,50.507307889054715
16,8,414648.039934387,5595462.998758828,-4.203619859428823,50.50490805587582
17,8,414691.9122360623,5595477.796752303,-4.203004705172079,50.50504750276059
18,9,414766.00720043463,5595199.989216151,-4.201896661442978,50.50256044613994
19,9,414790.4619178519,5595231.852656309,-4.201559173050491,50.5028504988295
20,10,415063.0873058254,5595175.4836728135,-4.197702894956647,50.5023832780341
21,10,415060.7244877889,5595219.224411788,-4.197746154195529,50.502776221591546
22,11,415348.5037883506,5595213.744243713,-4.193687815934831,50.50276862263591
23,11,415325.2057526178,5595252.123194907,-4.194024972477,50.50311033126013
24,12,415460.0942761647,5595481.391981866,-4.192175212923497,50.505191251258545
25,12,415428.91415210406,5595507.74000186,-4.19262077896939,50.50542365167835
26,13,415583.04295275593,5595692.562599157,-4.190489543199555,50.50710769429551
27,13,415556.8130325991,5595713.386086821,-4.19086407523772,50.507291142214314
28,14,415732.9861729619,5595761.864976681,-4.188391096699244,50.507752416016174
29,14,415724.12108787755,5595798.079736202,-4.188524264634484,50.5080767586419
30,15,415970.9016114657,5595792.194457219,-4.185043441807455,50.508059315535135
31,15,415985.3741904874,5595827.974555892,-4.184847436794639,50.508383103617
32,16,416107.40329503926,5595562.038029124,-4.183067110153811,50.50600947631978
33,16,416140.6805074293,5595597.414977267,-4.182605881573074,50.506332330141376
34,17,416205.9084738306,5595387.032098296,-4.181639014855297,50.5044500428152
35,17,416246.816045295,5595403.468047346,-4.181065965607167,50.50460367731034
36,18,416268.72982357244,5595205.8410434155,-4.1807126997216875,50.502829876387395
37,18,416314.7459997576,5595197.920926976,-4.180062187385898,50.50276524220613
38,19,416236.2549932944,5595011.223460214,-4.181126879751414,50.50107535495816
39,19,416282.29623866983,5594985.717259302,-4.180472095613931,50.500852603618895
40,20,416119.990134439,5594908.6870827945,-4.182742895189953,50.50013677115133
41,20,416131.09347935504,5594861.118249042,-4.182575687483995,50.49971065306299
42,21,415931.610585232,5594890.40863965,-4.1853944063669575,50.49994540968166
43,21,415925.6760462257,5594837.035467696,-4.185466052445181,50.49946466087284
44,22,415730.9109459561,5594799.175836035,-4.18820311295827,50.49909625770534
45,22,415748.09868973354,5594748.40287564,-4.187949367102919,50.498642213675794
46,23,415484.251894741,5594776.519526726,-4.191675105985984,50.498857001638264
47,23,415517.5121135137,5594718.473325423,-4.191193115130258,50.49833988807608
48,24,415221.99292504275,5594737.318815008,-4.195363214578594,50.49846662814046
49,24,415260.67264855845,5594721.846925601,-4.194814449849413,50.498333113575264
50,25,415275.274766797,5594542.462638126,-4.194567923688907,50.496722324272454
51,25,415334.91339373606,5594544.699086635,-4.1937277559006025,50.49675105744129
52,26,415295.70043325383,5594360.370873485,-4.194238714617952,50.49508803231371
53,26,415354.40882563294,5594339.128708882,-4.193406368454141,50.4949055245074
54,27,415148.85647776956,5594170.349115099,-4.196265420673123,50.4933582303634
55,27,415191.25069702783,5594131.176431619,-4.19565897724644,50.49301215580677
56,28,414981.4014408817,5594116.973291824,-4.198613574670516,50.492854029549754
57,28,414985.9987463061,5594060.002947513,-4.198535814013097,50.49234245836783
58,29,414743.5166246318,5594080.918190209,-4.201958323721905,50.49249527081069
59,29,414725.1075139822,5594034.654709806,-4.202207239362959,50.49207662197616
60,30,414550.5297069773,5594198.564807013,-4.204705346536911,50.49352494537023
61,30,414512.89802392223,5594148.463930105,-4.205224307429301,50.49306898254412
62,31,414412.41643367393,5594443.437330632,-4.206708165997496,50.49570649968709
63,31,414378.9882108814,5594369.6429765085,-4.207162450580537,50.49503810776651
64,32,414194.06362241553,5594573.301531658,-4.209815843194293,50.49684219536821
65,32,414171.6985433818,5594510.081053073,-4.210116578678968,50.49627048564311
66,33,413954.53971924767,5594656.238602744,-4.213211295573795,50.49755276254819
67,33,413934.4328228384,5594590.06732789,-4.213479482834084,50.496954844852674
68,34,413696.82463020936,5594723.839859202,-4.216859736853243,50.49812266125786
69,34,413690.4351729386,5594649.596479634,-4.2169326513237415,50.497454178970635
70,35,413372.428466843,5594706.139854221,-4.221428457414687,50.49791562158443
71,35,413409.78816802596,5594663.075414436,-4.220891839217247,50.497533944092844
72,36,413375.7081884195,5594387.59023784,-4.221308360623992,50.49505195204646
73,36,413461.6731403611,5594367.786068365,-4.220092053639477,50.49488659573233
74,37,413371.4713592723,5594129.024209832,-4.221308130952857,50.49272649627837
75,37,413425.0938029651,5594108.380095544,-4.220547549356889,50.492548807958414
76,38,413216.31309163565,5593924.586935386,-4.223447577086804,50.490865385110055
77,38,413293.6810429077,5593892.960039275,-4.222349795554078,50.490592476902556
78,39,413155.7120838226,5593687.973443304,-4.224246718493995,50.48872895623001
79,39,413246.0033724693,5593695.299206732,-4.222975888507235,50.48880820184144
80,40,413241.299870954,5593451.579727029,-4.222985605176153,50.486616164067236
